name,portion,food_source,calories,protein,carbs,fat,fiber,saturated_fat,trans_fat,monounsaturated_fat,polyunsaturated_fat,sugar,added_sugar,sodium,calcium,iron,magnesium,phosphorus,potassium,zinc,vitamin_a,vitamin_c,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b6,vitamin_b12,folate,cholesterol,water,caffeine,alcohol,is_favorite,nutritionist_id,external_id,created_at,updated_at
"Creme de arroz, pó",100g,TACO,386.0,7.03,83.87,1.23,1.07,,,,,,,1.03,7.09,0.63,50.5,153.02,114.68,1.86,,,,,,0.22,,,0.05,,,,7.33,,,false,,taco_027,,
"Creme de milho, pó",100g,TACO,333.03,4.82,86.15,1.64,3.72,,,,,,,593.79,323.16,4.26,30.06,303.27,165.72,0.78,,96.34,,,,0.74,,,2.05,,,,5.65,,,false,,taco_028,,
"Curau, milho verde",100g,TACO,78.43,2.36,13.94,1.64,0.46,,,,,,,20.51,52.6,0.45,15.96,74.66,161.84,0.4,16.07,,,,,0.04,0.07,,,,,4.74,81.56,,,false,,taco_029,,
"Curau, milho verde, mistura para",100g,TACO,402.29,2.22,79.82,13.37,2.52,,,,,,,222.93,30.88,0.86,8.5,44.62,55.34,0.24,,,,,,0.13,,,,,,,3.92,,,false,,taco_030,,
"Farinha, de arroz, enriquecida",100g,TACO,363.06,1.27,85.5,0.3,0.58,,,,,,,17.1,1.12,31.38,4.3,35.96,12.54,8.48,,173.59,,,,3.23,,24.42,3.47,,,,12.69,,,false,,taco_031,,
"Farinha, de centeio, integral",100g,TACO,335.78,12.52,73.3,1.75,15.48,,,,,,,41.38,33.92,4.73,120.23,339.99,333.62,2.66,,,,,,0.29,0.03,,0.08,,,,10.78,,,false,,taco_032,,
"Farinha, de milho, amarela",100g,TACO,350.59,7.19,79.08,1.47,5.49,,,,,,,44.93,1.28,2.25,30.95,84.22,57.85,0.6,9.0,,,,,0.25,,,0.25,,,,11.77,,,false,,taco_033,,
"Farinha, de rosca",100g,TACO,370.58,11.38,75.79,1.46,4.82,,,,,,,332.5,35.3,6.73,56.88,194.96,212.14,1.67,,,,,,0.25,,,0.09,,,,9.81,,,false,,taco_034,,
"Farinha, de trigo",100g,TACO,360.47,9.79,75.09,1.37,2.35,,,,,,,0.74,17.86,0.95,31.0,114.74,151.37,0.83,,,,,,0.31,,0.89,,,,,12.98,,,false,,taco_035,,
"Farinha, láctea, de cereais",100g,TACO,414.85,11.88,77.77,5.79,1.94,,,,,,,125.07,196.06,8.72,57.69,296.44,365.6,1.73,,24.31,,,,1.43,1.13,9.5,1.14,,,11.27,2.7,,,false,,taco_036,,
"Lasanha, massa fresca, cozida",100g,TACO,163.76,5.81,32.52,1.16,1.64,,,,,,,206.77,9.97,1.19,3.54,42.38,53.91,0.41,,,,,,0.04,,3.96,,,,,59.65,,,false,,taco_037,,
"Lasanha, massa fresca, crua",100g,TACO,220.31,7.01,45.06,1.34,1.61,,,,,,,666.71,16.55,1.87,12.59,81.96,136.61,0.76,,,,,,0.08,,,,,,,44.99,,,false,,taco_038,,
"Macarrão, instantâneo",100g,TACO,435.86,8.79,62.43,17.24,5.61,,,,,,,1515.53,17.63,0.8,19.37,112.15,147.92,0.5,,,,,,1.18,0.04,9.37,0.53,,,,5.97,,,false,,taco_039,,
"Macarrão, trigo, cru",100g,TACO,371.12,10.0,77.94,1.3,2.93,,,,,,,7.17,17.3,0.88,27.69,99.81,147.06,0.78,,,,,,0.18,0.02,3.57,,,,,10.24,,,false,,taco_040,,
"Macarrão, trigo, cru, com ovos",100g,TACO,370.57,10.32,76.62,1.97,2.3,,,,,,,14.74,19.45,0.92,,118.48,134.1,0.81,,,,,,0.11,0.05,4.37,0.03,,,17.57,10.56,,,false,,taco_041,,
